name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
cincinnati,1/11/22,32.9,12.8,23.2,26.2,5.7,15.5,9.5,56.7,0,0,0,,0,0,25.4,13.8,204.8,1033.7,1.1,9.9,11.2,0.8,1,,2022-01-11T07:56:54,2022-01-11T17:35:28,0.29,Clear,Clear conditions throughout the day.,clear-day,"KI69,F7513,KLUK,E5157,72421093814,KCVG,72429793812,99999900458"
cincinnati,1/12/22,47.7,28.8,38.8,43.8,19.9,33.4,23.1,53.8,0,0,0,,0,0,24.2,17,215.3,1020.8,14.5,9.9,33.7,2.7,1,,2022-01-12T07:56:39,2022-01-12T17:36:29,0.33,Clear,Clear conditions throughout the day.,clear-day,"KI69,F7513,KLUK,E5157,72421093814,KCVG,72429793812,E4634,99999900458"
cincinnati,1/13/22,47.7,28.7,38.1,46.3,28.7,36.9,30.2,74.5,0.002,100,4.17,rain,0,0,,8.6,325.6,1012.9,56.1,9.9,20,1.8,1,,2022-01-13T07:56:22,2022-01-13T17:37:32,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"KI69,F7513,KLUK,E5157,72421093814,KCVG,72429793812,99999900458"
cincinnati,1/14/22,39.1,33.8,34.7,34.8,25.8,29.6,29.8,82.2,0,0,0,,0,0,,12.7,23.9,1019.2,95,7.6,14,1.2,1,,2022-01-14T07:56:03,2022-01-14T17:38:36,0.39,Overcast,Cloudy skies throughout the day.,cloudy,"KI69,F7513,KLUK,72421093814,KCVG,72429793812,99999900458"
cincinnati,1/15/22,33.5,24.3,28.9,26.7,15.1,19.9,19.9,69,0,0,0,,0,0,16.1,12.5,45,1024.1,74.2,9.8,11.5,0.8,1,,2022-01-15T07:55:41,2022-01-15T17:39:40,0.42,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KI69,F7513,KLUK,E5157,72421093814,KCVG,72429793812,99999900458"
cincinnati,1/16/22,32.5,20.2,26.5,24.1,11.3,18.4,17.8,70,0.027,100,20.83,"rain,snow",0,0,25.3,11.6,23.8,1012,54.7,8,13.5,1.2,1,,2022-01-16T07:55:18,2022-01-16T17:40:45,0.46,"Snow, Rain, Partially cloudy",Becoming cloudy in the afternoon with late afternoon rain or snow.,rain,"KI69,F7513,KLUK,E5157,72421093814,KCVG,72429793812,99999900458"
cincinnati,1/17/22,30.4,26.6,28,23.1,14.8,17.8,20.6,73.7,0.009,100,4.17,"rain,snow",0.3,0.2,29,16.2,277.8,1008.4,92,8.4,13.6,1.1,1,,2022-01-17T07:54:53,2022-01-17T17:41:51,0.5,"Snow, Rain, Overcast",Cloudy skies throughout the day with early morning snow or rain.,snow,"KI69,F7513,KLUK,E5157,72421093814,KCVG,72429793812,99999900458"
cincinnati,1/18/22,39,27.7,32.4,32,17.9,25.3,24,71.1,0,0,0,,0,0.2,18.3,13.4,197.8,1018.8,73.6,9.9,224.4,19.5,2,,2022-01-18T07:54:25,2022-01-18T17:42:57,0.53,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KI69,F7513,KLUK,E5157,72421093814,KCVG,72429793812,E4634,99999900458"
cincinnati,1/19/22,51.8,30.5,41.9,51.8,20.2,36.7,31.3,66.8,0,0,0,,0,0,21.9,14.2,255.4,1016.5,53.2,9.9,154.5,13.2,5,,2022-01-19T07:53:56,2022-01-19T17:44:04,0.56,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KI69,F7513,KLUK,E5157,72421093814,KCVG,72429793812,E4634,99999900458"
cincinnati,1/20/22,28.6,20,24.3,18.4,9.4,13,9.2,52.8,0,0,0,,0,0,25.7,15.7,2.2,1030.3,64.6,9.9,320.1,27.6,1,,2022-01-20T07:53:24,2022-01-20T17:45:12,0.6,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KI69,F7513,KLUK,E5157,72421093814,KCVG,E4634,72429793812,99999900458"
cincinnati,1/21/22,25.6,13.6,20.7,19.9,7.4,12.1,8.2,59,0,0,0,,0,0,20.8,13.4,49.9,1034.3,53.5,9.9,14.7,1.1,1,,2022-01-21T07:52:51,2022-01-21T17:46:20,0.63,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KI69,F7513,KLUK,E5157,72421093814,KCVG,72429793812,99999900458"
cincinnati,1/22/22,32.9,9,20.4,24.5,4,14.5,10.2,67.6,0,0,0,,0,0,19.7,15.1,216.9,1028.3,18.3,9.8,274.5,23.6,9,,2022-01-22T07:52:16,2022-01-22T17:47:28,0.67,Clear,Clear conditions throughout the day.,clear-day,"KI69,F7513,KLUK,E5157,72421093814,KCVG,72429793812,E4634,99999900458"
cincinnati,1/23/22,36.8,20.7,27.9,27.5,13.7,18.7,17.7,65.4,0,0,0,,0,0,30.2,19.6,247.3,1015.3,80.2,9.3,114.7,9.8,10,,2022-01-23T07:51:38,2022-01-23T17:48:37,0.7,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KI69,F7513,KLUK,E5157,72421093814,KCVG,72429793812,E4634,99999900458"
cincinnati,1/24/22,40.5,16.5,28.8,33.6,12.1,23.6,22.9,78.8,0.121,100,20.83,rain,0,0,27.7,13.6,216.7,1010.4,70.6,9,9.8,0.8,1,,2022-01-24T07:50:59,2022-01-24T17:49:46,0.74,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KI69,F7513,KLUK,E5157,72421093814,KCVG,72429793812,99999900458"
cincinnati,1/25/22,33.6,18.7,26.8,26,8.9,18.7,15.9,63.6,0,0,0,,0,0,23,12.9,335.1,1021.6,68.5,9.6,256,22.1,10,,2022-01-25T07:50:18,2022-01-25T17:50:56,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KI69,F7513,KLUK,E5157,72421093814,KCVG,72429793812,E4634,99999900458"
cincinnati,1/26/22,23.9,6.7,14.8,23.7,-2,10.7,1.3,55.6,0,0,0,,0,0,,11.9,338.5,1032,0,9.9,570.5,49,8,,2022-01-26T07:49:35,2022-01-26T17:52:05,0.81,Clear,Clear conditions throughout the day.,clear-day,"KI69,KLUK,E5157,72421093814,KCVG,E4634,72429793812,99999900458"
cincinnati,1/27/22,35.7,8.1,23.2,29.8,1.3,18.8,14.1,69.7,0.002,100,4.17,"rain,snow",0,0,,10.7,211.2,1026,65.1,9.3,341.8,29.3,5,,2022-01-27T07:48:50,2022-01-27T17:53:15,0.84,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain or snow.,rain,"KI69,KLUK,E5157,72421093814,KCVG,E4634,72429793812,99999900458"
cincinnati,1/28/22,30.7,15.6,26.1,30.7,1.9,20.2,23.4,89.6,0.093,100,50,"rain,snow",0.5,0.3,26.4,15,357.4,1022.4,96,3.1,262.9,22.3,5,,2022-01-28T07:48:03,2022-01-28T17:54:25,0.88,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,"KI69,F7513,KLUK,E5157,72421093814,KCVG,E4634,72429793812,99999900458"
cincinnati,1/29/22,22.7,1.7,14.2,20.9,-6.4,9.3,6.5,72.4,0,0,0,snow,0.2,0.6,,10.7,222.5,1024.4,49.1,9.3,117.4,9.7,2,,2022-01-29T07:47:15,2022-01-29T17:55:35,0.91,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KI69,KLUK,E5157,72421093814,KCVG,E4634,72429793812,99999900458"
cincinnati,1/30/22,40.4,17.2,27.3,34.8,9.7,23,16.3,64,0,0,0,,0,0.4,,10.7,279.8,1015.1,20.4,9.9,88.3,7.3,2,,2022-01-30T07:46:25,2022-01-30T17:56:46,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KI69,KLUK,E5157,72421093814,KCVG,E4634,72429793812,99999900458"
cincinnati,1/31/22,40.5,19.5,29.4,40.5,14.6,27.9,20.5,71,0,0,0,,0,0.1,,5.5,47.2,1021.8,10,8.8,73.8,6.1,2,,2022-01-31T07:45:33,2022-01-31T17:57:56,0.98,Clear,Clear conditions throughout the day.,clear-day,"KI69,KLUK,E5157,72421093814,KCVG,E4634,72429793812,99999900458"
cincinnati,2/1/22,61,23.6,40.4,61,23.6,39.3,27.1,63.4,0,0,0,,0,0,26,16.3,196.4,1021,15.1,9.1,50.8,4.2,1,,2022-02-01T07:44:39,2022-02-01T17:59:07,0,Clear,Clear conditions throughout the day.,clear-day,"KI69,KLUK,E5157,72421093814,KCVG,E4634,72429793812,99999900458"
cincinnati,2/2/22,44.7,37.1,41.8,43.9,35,39.3,37.9,86.8,0.799,100,66.67,rain,0,0,23,10.8,187,1018.6,81.3,6.1,49.8,3.7,1,,2022-02-02T07:43:44,2022-02-02T18:00:17,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KI69,KLUK,72421093814,KCVG,E4634,72429793812,99999900458"
cincinnati,2/3/22,38.2,24,30.5,29.7,12.3,20.6,28.2,91,1.195,100,100,"rain,snow",0.3,0.1,32.9,16.1,18,1020.4,100,3.6,11,0,0,,2022-02-03T07:42:47,2022-02-03T18:01:27,0.08,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,"KI69,KLUK,72421093814,KCVG,E4634,72429793812,99999900458"
cincinnati,2/4/22,24.9,16.2,21.9,18.4,8.5,12.6,17.1,81.7,0.058,100,20.83,snow,1.8,1.4,26.4,13.5,345.8,1025.5,97.3,6.9,79.7,6.4,3,,2022-02-04T07:41:48,2022-02-04T18:02:38,0.11,"Snow, Overcast",Cloudy skies throughout the day with snow clearing later.,snow,"KLUK,E5157,72421093814,KCVG,E4634,72429793812"
cincinnati,2/5/22,23.1,14.8,19.2,18.9,4.2,12.4,12.5,75.2,0,0,0,,0,1.1,21.9,11.2,267.2,1032.6,65.9,8.5,125.8,10.7,2,,2022-02-05T07:40:48,2022-02-05T18:03:48,0.14,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KLUK,E5157,72421093814,KCVG,E4634,72429793812"
cincinnati,2/6/22,38.6,13.2,24.6,32.9,9.1,22.2,18.4,79.3,0,0,0,,0,0.5,,9.6,196.3,1028,3,8.3,111.6,9.5,3,,2022-02-06T07:39:47,2022-02-06T18:04:58,0.18,Clear,Clear conditions throughout the day.,clear-day,"KLUK,E5157,72421093814,KCVG,E4634,72429793812"
cincinnati,2/7/22,40.5,20.7,28.7,33.4,14.4,24.7,21.7,76.7,0,0,0,,0,0.4,,12.3,282,1023.1,40.5,6.9,68.7,5.9,2,,2022-02-07T07:38:44,2022-02-07T18:06:08,0.21,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"F7513,KI69,KLUK,E5157,72421093814,KCVG,72429793812,99999900458"
cincinnati,2/8/22,44.9,16.7,28.9,40.1,14,26.1,20.8,73.2,0,0,0,,0,0.3,19.7,9.7,204,1020.7,13.2,9.3,57.8,5.1,2,,2022-02-08T07:37:39,2022-02-08T18:07:18,0.25,Clear,Clear conditions throughout the day.,clear-day,"KI69,F7513,KLUK,E5157,72421093814,KCVG,72429793812,99999900458"
cincinnati,2/9/22,49,34,42.7,44.7,30.9,37.2,29.2,59.2,0,0,0,,0,0.1,49.4,16.9,217.3,1012,35.2,9.9,49,4.4,2,,2022-02-09T07:36:33,2022-02-09T18:08:28,0.27,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KI69,F7513,KLUK,E5157,72421093814,KCVG,72429793812,99999900458"
cincinnati,2/10/22,44.6,29.8,37.2,38.8,26.1,32.8,27.1,68.4,0,0,0,,0,0.1,21.9,14.9,246.7,1015,30.6,9.9,60.4,4.8,2,,2022-02-10T07:35:26,2022-02-10T18:09:37,0.31,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KI69,KLUK,E5157,72421093814,KCVG,72429793812,E4634,99999900458"
cincinnati,2/11/22,56.5,27.8,41.7,56.5,23,38.9,30.5,67.1,0.041,100,12.5,rain,0,0,33.4,20.3,239.7,1009.7,57.7,9.8,34.1,2.3,1,,2022-02-11T07:34:17,2022-02-11T18:10:46,0.34,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"KI69,KLUK,E5157,72421093814,KCVG,E4634,72429793812,99999900458"
cincinnati,2/12/22,41.7,25.7,32.1,35.3,17.5,24.5,25.1,75.2,0.002,100,4.17,rain,0,0,34,11.4,293,1022.5,99.2,9.8,14.3,0.7,1,,2022-02-12T07:33:07,2022-02-12T18:11:55,0.37,"Rain, Overcast",Cloudy skies throughout the day with early morning rain.,rain,"KI69,F7513,KLUK,E5157,72421093814,KCVG,E4634,72429793812,99999900458"
cincinnati,2/13/22,28.8,17.7,22.5,24.4,8.1,14.7,12,64.7,0.002,100,4.17,snow,0,0,18.3,12.5,320.7,1025.7,81,9,36.2,3.1,5,,2022-02-13T07:31:56,2022-02-13T18:13:04,0.4,"Snow, Partially cloudy",Partly cloudy throughout the day with late afternoon snow.,snow,"KI69,F7513,KLUK,E5157,72421093814,KCVG,72429793812,99999900458"
cincinnati,2/14/22,30,14.1,21,30,7.8,18.7,12.1,69.1,0,0,0,,0,0,16.1,8.8,301.4,1028,46.3,9.8,29.2,2.5,1,,2022-02-14T07:30:43,2022-02-14T18:14:13,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KI69,F7513,AS605,KLUK,E5157,72421093814,KCVG,72429793812,99999900458"
cincinnati,2/15/22,51.7,16.5,31.8,51.7,11.5,30.8,20,66.5,0,0,0,,0,0,17.2,8.4,101.5,1030.4,7.3,9.2,31.2,2.9,2,,2022-02-15T07:29:30,2022-02-15T18:15:21,0.47,Clear,Clear conditions throughout the day.,clear-day,"KI69,F7513,KLUK,E5157,72421093814,KCVG,72429793812,99999900458"
cincinnati,2/16/22,63.9,33.1,51.8,63.9,27.6,50.1,34.3,52.4,0,0,0,,0,0,43.2,28.7,197.1,1021.8,51.9,9.9,35.5,3,1,,2022-02-16T07:28:15,2022-02-16T18:16:29,0.5,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KI69,F7513,KLUK,E5157,72421093814,KCVG,72429793812,99999900458"
cincinnati,2/17/22,59.8,33.8,52.5,59.8,23.9,51,47.8,85.9,2.023,100,75,"rain,snow",0,0,39.8,18,207.6,1008.5,87.8,5.9,8.7,0.5,0,,2022-02-17T07:26:59,2022-02-17T18:17:37,0.54,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"KI69,AS605,KLUK,E5157,72421093814,KCVG,72429793812,99999900458"
cincinnati,2/18/22,34,25.9,30,28.4,16.2,21.4,19.9,66.4,0,0,0,,0,0,24.5,17.5,282.9,1021.7,58.9,9.8,28.8,2.6,1,,2022-02-18T07:25:41,2022-02-18T18:18:44,0.57,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KI69,F7513,KLUK,E5157,72421093814,KCVG,72429793812,99999900458"
cincinnati,2/19/22,32.9,23.7,30,25.8,16.2,21.3,11.4,46.8,0,0,0,,0,0,31.1,18.3,273.2,1026.4,9.5,9.9,135.5,11.7,6,,2022-02-19T07:24:23,2022-02-19T18:19:51,0.61,Clear,Clear conditions throughout the day.,clear-day,"KI69,F7513,KLUK,E5157,72421093814,KCVG,72429793812,99999900458"
cincinnati,2/20/22,58.5,21.1,38.3,58.5,12.8,35.3,20.2,51.5,0,0,0,,0,0,30.4,23.1,200.9,1024.3,0.7,9.9,32.1,2.9,2,,2022-02-20T07:23:04,2022-02-20T18:20:58,0.64,Clear,Clear conditions throughout the day.,clear-day,"KI69,F7513,KLUK,E5157,72421093814,KCVG,72429793812,99999900458"
cincinnati,2/21/22,64.8,32.2,50.2,64.8,27.7,49.4,33.9,55.8,0,0,0,,0,0,23,19.4,196.5,1019.2,34.5,9.9,45.6,3.9,2,,2022-02-21T07:21:44,2022-02-21T18:22:04,0.68,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KI69,F7513,KLUK,E5157,72421093814,KCVG,72429793812,99999900458"
cincinnati,2/22/22,62.8,53.1,57.9,62.8,53.1,57.9,54.3,88.6,0.963,100,50,rain,0,0,35.7,22.7,200.5,1012.6,97,7.7,20.3,2,1,,2022-02-22T07:20:22,2022-02-22T18:23:11,0.71,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"KI69,KLUK,E5157,72421093814,KCVG,72429793812,99999900458"
cincinnati,2/23/22,48.5,29.7,33,41.6,20.4,25.2,27,78.5,0,0,0,,0,0,30.6,20.1,334.8,1027.5,99.3,9.8,25.1,2.1,1,,2022-02-23T07:19:00,2022-02-23T18:24:16,0.75,Overcast,Cloudy skies throughout the day.,cloudy,"KI69,AS605,KLUK,E5157,72421093814,KCVG,72429793812,99999900458"
cincinnati,2/24/22,36.8,29.7,33.1,35.7,19.6,26.3,28.4,83.1,0.413,100,33.33,"rain,snow",0,0,18.3,12.8,52.9,1024.2,100,7.8,27.4,2.5,1,,2022-02-24T07:17:37,2022-02-24T18:25:22,0.79,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,rain,"KI69,F7513,KLUK,E5157,72421093814,KCVG,72429793812,99999900458"
cincinnati,2/25/22,35.8,30.4,32.7,32.7,21.1,25.4,26.5,78.5,0.21,100,20.83,"rain,snow",0,0,30,18.5,288.7,1026.7,100,9,41,3.3,1,,2022-02-25T07:16:13,2022-02-25T18:26:27,0.82,"Snow, Rain, Overcast",Cloudy skies throughout the day with early morning snow or rain.,rain,"KI69,F7513,KLUK,E5157,72421093814,KCVG,72429793812,E4634,99999900458"
cincinnati,2/26/22,37.5,26.9,30.9,36.8,20.9,27.7,21.9,69.4,0,0,0,,0,0,,7.7,341.7,1033.4,68.3,9.8,98.9,8.4,2,,2022-02-26T07:14:48,2022-02-26T18:27:32,0.86,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KI69,KLUK,E5157,72421093814,KCVG,E4634,72429793812,99999900458"
cincinnati,2/27/22,49.5,23.9,35,44.8,19.8,33,21.9,65.4,0,0,0,,0,0,29.8,13.3,264.6,1025.8,2.3,8.3,98.9,8.5,2,,2022-02-27T07:13:23,2022-02-27T18:28:37,0.89,Clear,Clear conditions throughout the day.,clear-day,"KI69,KLUK,E5157,72421093814,KCVG,E4634,72429793812,99999900458"
cincinnati,2/28/22,52.6,26.4,38.1,52.6,26.4,37,26.9,67.6,0,0,0,,0,0,,10,218,1023.3,5.5,9.8,91.8,7.9,2,,2022-02-28T07:11:56,2022-02-28T18:29:41,0.93,Clear,Clear conditions throughout the day.,clear-day,"KI69,KLUK,E5157,72421093814,KCVG,E4634,72429793812,99999900458"
cincinnati,3/1/22,66.4,33.6,49.2,66.4,33.6,48.5,29.8,52.2,0,0,0,,0,0,25.3,16.4,239.8,1017.1,30.3,9.9,128.2,11,2,,2022-03-01T07:10:29,2022-03-01T18:30:45,0.96,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KI69,KLUK,E5157,72421093814,KCVG,E4634,72429793812,99999900458"
cincinnati,3/2/22,67.6,37.4,53.5,67.6,34.6,53,36.8,56.8,0,0,0,,0,0,23,10.2,261.4,1017.5,37.8,9.9,127.7,11.3,2,,2022-03-02T07:09:01,2022-03-02T18:31:48,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KI69,KLUK,E5157,72421093814,KCVG,E4634,72429793812,99999900458"
cincinnati,3/3/22,61.8,36,43.8,61.8,29.5,38.6,29.6,58.5,0,0,0,,0,0,27.7,16.4,22,1024.2,71.8,9.8,133,11.7,1,,2022-03-03T07:07:33,2022-03-03T18:32:52,0.03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KI69,KLUK,E5157,72421093814,KCVG,E4634,72429793812,99999900458"
cincinnati,3/4/22,54.8,29.1,41.2,54.8,22.3,37.2,22.2,49.4,0,0,0,,0,0,,9.7,53.7,1028.7,14.4,9.9,119.7,10.4,2,,2022-03-04T07:06:04,2022-03-04T18:33:55,0.06,Clear,Clear conditions throughout the day.,clear-day,"KI69,KLUK,E5157,72421093814,KCVG,E4634,72429793812,99999900458"
cincinnati,3/5/22,77.5,39.9,59.3,77.5,36.2,58.8,37.8,47.5,0,0,0,,0,0,36.6,24.2,203.7,1019.3,30.5,9.9,55.2,4.7,2,,2022-03-05T07:04:34,2022-03-05T18:34:57,0.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KI69,KLUK,E5157,72421093814,KCVG,72429793812,99999900458"
cincinnati,3/6/22,69.1,58,64.7,69.1,58,64.7,55.6,74.1,0.602,100,37.5,rain,0,0,33.3,18.7,205.5,1015.1,93.1,9,50.7,4.3,1,,2022-03-06T07:03:04,2022-03-06T18:36:00,0.13,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"KI69,KLUK,E5157,72421093814,KCVG,72429793812,99999900458"
cincinnati,3/7/22,64.6,37.6,51.6,64.6,30.9,48.3,46.8,83.9,0.83,100,45.83,rain,0,0,50.1,24.3,249,1011.7,100,8.4,37.8,3.2,1,,2022-03-07T07:01:33,2022-03-07T18:37:02,0.16,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"KI69,KLUK,E5157,72421093814,KCVG,72429793812,99999900458"
cincinnati,3/8/22,42.9,35.6,38.6,42.8,29.8,35.6,26.5,61.6,0,0,0,,0,0,,9.1,324.4,1022.5,75.1,9.9,46.5,3.9,1,,2022-03-08T07:00:02,2022-03-08T18:38:04,0.19,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KI69,KLUK,E5157,72421093814,KCVG,72429793812,99999900458"
cincinnati,3/9/22,49.6,34.9,40.7,48.5,31.9,38.2,31.2,70.7,0.01,100,8.33,rain,0,0,17.2,9.1,352.7,1016.7,68.9,9.3,50.5,4.8,1,,2022-03-09T06:58:30,2022-03-09T18:39:06,0.22,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"KI69,KLUK,E5157,72421093814,KCVG,72429793812,99999900458"
cincinnati,3/10/22,54.2,29.3,40.7,54.2,25.2,40,28.8,66.9,0,0,0,,0,0,,8.9,21.5,1020,13.7,9.6,43.1,3.4,2,,2022-03-10T06:56:58,2022-03-10T18:40:07,0.25,Clear,Clear conditions throughout the day.,clear-day,"KI69,KLUK,E5157,72421093814,KCVG,72429793812,E4634,99999900458"
cincinnati,3/11/22,56.6,28,38.7,56.6,20.4,36.2,31,76.3,0.038,100,16.67,"rain,snow",0,0,25.7,15.5,311.6,1015.6,47.9,7.9,132.3,11.4,6,,2022-03-11T06:55:26,2022-03-11T18:41:08,0.29,"Snow, Rain, Partially cloudy",Becoming cloudy in the afternoon with late afternoon rain or snow.,rain,"KI69,KLUK,E5157,72421093814,KCVG,E4634,72429793812,99999900458"
cincinnati,3/12/22,29.6,20.6,24,19.4,6.4,11.9,9.1,52.7,0,0,0,snow,0.2,0.2,30.8,20.4,301.5,1019.8,66.5,9.9,105.5,8.7,3,,2022-03-12T06:53:53,2022-03-12T18:42:09,0.32,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KI69,KLUK,E5157,72421093814,KCVG,E4634,72429793812,99999900458"
